OBJECTID,LRSDate,RouteIdentifier,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,AccumulatedRouteMile,AADT,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,DirectionOfTravel,Location,GlobalID,ReportingYear,x,y
1,12/31/2022 8:00:00 AM,522,522,,,0,16000,1.79,0.35,0.02,South,AT MILEPOST 0.00: DECREASING MISCELLANEOUS FEATURE S1 RAMP AHEAD; BEGIN ROUTE,ba70851c-a52a-4999-bf67-cd381e16d300,2022,-13616745.348788,6053765.8457447
2,12/31/2022 8:00:00 AM,002,002,,,0.12,8100,,,,West,EAST OF MILEPOST 0.11B: EXIT TO WALNUT ST,cd6a4d4a-7a82-4c82-a4db-6a0242b5cf85,2022,-13601945.2492432,6103656.06106258
3,12/31/2022 8:00:00 AM,002,002,,,0.01,5100,2.69,0.53,0,West,EAST OF MILEPOST 0.00B: SR 529-MAPLE ST INTERSECTION; BEGIN ROUTE,7bc44465-3632-4ef8-98a2-003c628634b4,2022,-13602214.112291,6103598.69184248
4,12/31/2022 8:00:00 AM,536,536,,,0.01,3300,3.75,0.75,0.03,North,SOUTH OF MILEPOST 0.00: SR 20 INTERSECTION; BEGIN ROUTE,4c67b09e-d898-4acf-8545-0de10ac0026c,2022,-13628986.2674165,6181395.67336803
5,12/31/2022 8:00:00 AM,302,302,,,16.87,12000,3.21,1.42,0.67,Northwest,AT MILEPOST 16.87: SR 16 WB UNDERCROSSING; END ROUTE,e34b4b3c-6d5a-4317-9d0e-c59541c77d95,2022,-13649864.7938107,6002893.21627168
6,12/31/2022 8:00:00 AM,290,290,,,0,8400,1.69,1.39,0.1,Southeast,AT MILEPOST 0.07: SR 90 UNDERCROSSING; BEGIN ROUTE,8d5d71d3-e1c9-431a-abf9-d8493fd853ee,2022,-13068025.207341,6049295.70773907
7,12/31/2022 8:00:00 AM,509,509,,,35.16,42000,,,,South,NORTH OF MILEPOST 29.90: NBCD LANE ON RAMP,550e3872-6dbf-4f94-8322-6f5d69a6429f,2022,-13618268.6476096,6030287.69985116
8,12/31/2022 8:00:00 AM,090,090,,,0.01,11000,2.36,1.43,0.08,East,WEST OF MILEPOST 1.94: 4TH AVE S INTERSECTION; BEGIN ROUTE,7a5b3b1b-f960-4b63-8d67-e3908b95369f,2022,-13617630.7002228,6039614.06246428
9,12/31/2022 8:00:00 AM,543,543,,,0,4400,4.41,28.87,3.03,South,AT MILEPOST 0.00: SR 5 BRIDGE; BEGIN ROUTE,d0b15cb5-6eee-402e-944c-9bf4ab7671c1,2022,-13662913.4604611,6272571.89922449
10,12/31/2022 8:00:00 AM,161,161,,,2.86,1000,,,,Bothways,SOUTH OF MILEPOST 2.87: MASHELL AVE S INTERSECTION,7c51fd83-1c67-4d20-87e9-70e1cc19ce44,2022,-13610668.5942641,5920127.31549756
11,12/31/2022 8:00:00 AM,205,205,,,10.56,54000,,,,Bothways,NORTH OF MILEPOST 37.14: NE 134TH ST OFF RAMP,5fae817c-8cb7-4de1-b646-ecd21f8407cb,2022,-13653773.1224463,5736070.1790181
12,12/31/2022 8:00:00 AM,005,005,,,32.28,70000,,,,Bothways,AT MILEPOST 32.28: KALAMA RIVER RD UNDERCROSSING,3c6feb4f-62d8-43f4-8b46-10b7cc20d4a4,2022,-13676585.9013857,5786979.66333818
13,12/31/2022 8:00:00 AM,167,167,,,6.93,44000,5.57,6.12,0.96,Bothways,SOUTH OF MILEPOST 5.70: SR 512 OFF RAMP; PERMANENT RECORDER R112,108b4e93-4bdf-435c-8d21-25b60ef1595b,2022,-13612709.8704258,5975304.73636548
14,12/31/2022 8:00:00 AM,547,547,,,2.36,2500,3.45,0.55,0,Bothways,NORTH OF MILEPOST 2.42: CIMARRON WAY INTERSECTION,08428776-b33d-4664-b901-5ba6a6889eae,2022,-13597860.8352431,6265742.05606781
15,12/31/2022 8:00:00 AM,524,524,,,10.45,16000,,,,Bothways,SOUTHEAST OF MILEPOST 10.34: 204TH ST SE INTERSECTION,4ee1988e-abf9-46c7-90b5-1306a184f1f9,2022,-13602381.3828785,6075778.91288924
16,12/31/2022 8:00:00 AM,012,012,,,335.97,12000,,,,Bothways,WEST OF MILEPOST 338.69: WILBUR AVE WYE CONNECTION,542aa0a7-8a1b-4092-8d97-bdfa71ccc7bb,2022,-13169699.9688655,5793380.55309373
17,12/31/2022 8:00:00 AM,395,395,,,234.07,7700,2.79,0.52,0,Bothways,SOUTH OF MILEPOST 229.34: BIRCH AVE INTERSECTION,5f36bfa2-ba82-40e8-8ec1-417f91362204,2022,-13125210.4507713,6197522.81392836
